name,price,unit_price,district_code,segment,type,area,level,remaining_years,date
REFLECTIONS AT KEPPEL BAY,3400000,1612,4,RCR,Resale,2110,31 to 35,86.0,Aug-19
SEAHILL,725000,1464,5,OCR,Resale,495,11 to 15,91.0,Aug-19
THE PEARL @ MOUNT FABER,1660000,1195,4,RCR,Resale,1389,06 to 10,82.0,Aug-19
THE CREST,1350000,1766,3,RCR,Resale,764,21 to 25,92.0,Aug-19
THE INFINITI,1120000,1224,5,OCR,Resale,915,11 to 15,999.0,Aug-19
CARIBBEAN AT KEPPEL BAY,2170000,1600,4,RCR,Resale,1356,06 to 10,79.0,Aug-19
REFLECTIONS AT KEPPEL BAY,2988800,1633,4,RCR,Resale,1830,01 to 05,86.0,Aug-19
BLUE HORIZON,1180000,1025,5,OCR,Resale,1152,11 to 15,80.0,Aug-19
HERITAGE VIEW,1370000,1147,5,RCR,Resale,1195,06 to 10,76.0,Aug-19
REFLECTIONS AT KEPPEL BAY,3064800,1886,4,RCR,Resale,1625,01 to 05,86.0,Aug-19
CARIBBEAN AT KEPPEL BAY,2130000,1570,4,RCR,Resale,1356,06 to 10,79.0,Aug-19
REFLECTIONS AT KEPPEL BAY,1805600,1712,4,RCR,Resale,1055,06 to 10,86.0,Aug-19
QUEENS PEAK,2479000,1645,3,RCR,New Sale,1507,31 to 35,95.0,Jul-19
RIVER PLACE,1000000,1475,3,RCR,Resale,678,01 to 05,75.0,Jul-19
THE INFINITI,1350000,1063,5,OCR,Resale,1270,01 to 05,999.0,Jul-19
ECHELON,1688888,1961,3,RCR,Resale,861,36 to 40,92.0,Jul-19
THE STELLAR,1700000,1224,5,OCR,Resale,1389,01 to 05,999.0,Jul-19
CORALS AT KEPPEL BAY,1860000,2160,4,RCR,Resale,861,06 to 10,87.0,Jul-19
EMERALD PARK,1270000,1372,3,RCR,Resale,926,06 to 10,71.0,Jul-19
REGENT PARK,1130000,981,5,OCR,Resale,1152,01 to 05,73.0,Jul-19
CARIBBEAN AT KEPPEL BAY,1860000,1452,4,RCR,Resale,1281,06 to 10,79.0,Jul-19
CARIBBEAN AT KEPPEL BAY,1470000,1645,4,RCR,Resale,893,01 to 05,79.0,Jul-19
REFLECTIONS AT KEPPEL BAY,1800000,1442,4,RCR,Resale,1249,06 to 10,86.0,Jul-19
DOVER PARKVIEW,1285000,995,5,RCR,Resale,1292,11 to 15,73.0,Jul-19
REFLECTIONS AT KEPPEL BAY,1977600,1612,4,RCR,Resale,1227,01 to 05,86.0,Jul-19
THE FORESTA @ MOUNT FABER,848000,1970,4,RCR,Resale,431,01 to 05,999.0,Jul-19
FABER CREST,1250000,860,5,OCR,Resale,1453,01 to 05,76.0,Jul-19
CARABELLE,1750000,1390,5,OCR,Resale,1259,06 to 10,865.0,Jul-19
COMMONWEALTH TOWERS,1338000,1776,3,RCR,Resale,753,16 to 20,93.0,Jul-19
TANGLIN VIEW,1450000,1271,3,RCR,Resale,1141,01 to 05,77.0,Jul-19
BAYVILLE CONDOMINIUM,2080000,1001,5,RCR,Resale,2077,01 to 05,999.0,Jul-19
BLUE HORIZON,1230000,1058,5,OCR,Resale,1163,06 to 10,80.0,Jul-19
REFLECTIONS AT KEPPEL BAY,1702400,1614,4,RCR,Resale,1055,01 to 05,86.0,Jul-19
ECHELON,2100000,1336,3,RCR,Resale,1572,01 to 05,92.0,Jul-19
REFLECTIONS AT KEPPEL BAY,1938400,1580,4,RCR,Resale,1227,01 to 05,86.0,Jul-19
REGENT PARK,832650,910,5,OCR,Resale,915,01 to 05,73.0,Jul-19
MONTEREY PARK CONDOMINIUM,1480000,1175,5,OCR,Resale,1259,06 to 10,865.0,Jul-19
REFLECTIONS AT KEPPEL BAY,2056000,1676,4,RCR,Resale,1227,06 to 10,86.0,Jul-19
REFLECTIONS AT KEPPEL BAY,2823200,1749,4,RCR,Resale,1615,01 to 05,86.0,Jul-19
MONTEREY PARK CONDOMINIUM,1520000,1217,5,OCR,Resale,1249,06 to 10,865.0,Jul-19
REFLECTIONS AT KEPPEL BAY,3109600,1680,4,RCR,Resale,1851,06 to 10,86.0,Jul-19
THE PARC CONDOMINIUM,1880000,1323,5,OCR,Resale,1421,06 to 10,999.0,Jul-19
BAYVILLE CONDOMINIUM,1600000,978,5,RCR,Resale,1636,01 to 05,999.0,Jul-19
HUNDRED TREES,1550000,1333,5,OCR,Resale,1163,01 to 05,865.0,Jul-19
CORALS AT KEPPEL BAY,1798000,2037,4,RCR,Resale,883,01 to 05,87.0,Jul-19
CARIBBEAN AT KEPPEL BAY,2850000,1504,4,RCR,Resale,1894,01 to 05,79.0,Jul-19
WESTCOVE CONDOMINIUM,1050000,871,5,OCR,Resale,1206,01 to 05,75.0,Jul-19
VARSITY PARK CONDOMINIUM,1380000,1051,5,OCR,Resale,1313,01 to 05,84.0,Jul-19
ASCENTIA SKY,2280000,1546,3,RCR,Resale,1475,36 to 40,88.0,Jul-19
VARSITY PARK CONDOMINIUM,2100000,1055,5,OCR,Resale,1991,01 to 05,84.0,Jul-19
WEST BAY CONDOMINIUM,1190000,825,5,OCR,Resale,1442,01 to 05,71.0,Jul-19
THE ANCHORAGE,2230000,1569,3,RCR,Resale,1421,06 to 10,999.0,Jul-19
ASCENTIA SKY,1650000,1742,3,RCR,Resale,947,36 to 40,88.0,Jul-19
REFLECTIONS AT KEPPEL BAY,1977600,1598,4,RCR,Resale,1238,01 to 05,86.0,Jul-19
MERAPRIME,1800000,1534,3,RCR,Resale,1173,26 to 30,83.0,Jul-19
TANGLIN VIEW,1730000,1182,3,RCR,Resale,1464,01 to 05,77.0,Jul-19
ECHELON,1555000,2124,3,RCR,Resale,732,36 to 40,92.0,Jul-19
REFLECTIONS AT KEPPEL BAY,3048800,1647,4,RCR,Resale,1851,01 to 05,86.0,Jul-19
SEAHILL,1488888,1317,5,OCR,Resale,1130,16 to 20,91.0,Jul-19
REFLECTIONS AT KEPPEL BAY,2713600,1692,4,RCR,Resale,1604,01 to 05,86.0,Jul-19
REGENT PARK,1150000,1008,5,OCR,Resale,1141,01 to 05,73.0,Jul-19
DOVER PARKVIEW,1380000,1105,5,RCR,Resale,1249,01 to 05,73.0,Jul-19
REFLECTIONS AT KEPPEL BAY,2016800,1644,4,RCR,Resale,1227,06 to 10,86.0,Jul-19
DOMAIN 21,1280000,1416,3,RCR,Resale,904,06 to 10,84.0,Jul-19
THE CREST,2327000,1758,3,RCR,Resale,1324,06 to 10,92.0,Jul-19
HIGHLINE RESIDENCES,1330000,2094,3,RCR,Resale,635,16 to 20,93.0,Jul-19
THE PARC CONDOMINIUM,1900000,1337,5,OCR,Resale,1421,11 to 15,999.0,Jul-19
CENTRAL GREEN CONDOMINIUM,1268000,1339,3,RCR,Resale,947,01 to 05,72.0,Jul-19
SEAHILL,1275000,1481,5,OCR,Resale,861,06 to 10,91.0,Jul-19
WESTCOVE CONDOMINIUM,980000,893,5,OCR,Resale,1098,01 to 05,75.0,Jul-19
THE METROPOLITAN CONDOMINIUM,1075000,1491,3,RCR,Resale,721,21 to 25,86.0,Jul-19
THE VISION,1670000,1282,5,OCR,Resale,1302,16 to 20,88.0,Jul-19
CARIBBEAN AT KEPPEL BAY,2120000,1448,4,RCR,Resale,1464,01 to 05,79.0,Jul-19
THE PEAK@BALMEG,1650000,1394,5,RCR,Resale,1184,01 to 05,999.0,Jun-19
HERITAGE VIEW,1340000,1122,5,RCR,Resale,1195,01 to 05,76.0,Jun-19
THE VISION,1250000,1382,5,OCR,Resale,904,21 to 25,88.0,Jun-19
THE INTERLACE,2738888,1325,4,RCR,Resale,2067,11 to 15,89.0,Jun-19
REFLECTIONS AT KEPPEL BAY,2508888,1554,4,RCR,Resale,1615,01 to 05,86.0,Jun-19
VILLA DE WEST,1290000,1275,5,RCR,Resale,1012,01 to 05,999.0,Jun-19
WESTCOVE CONDOMINIUM,1020000,894,5,OCR,Resale,1141,01 to 05,75.0,Jun-19
VILLAGE @ PASIR PANJANG,1500000,1380,5,RCR,Resale,1087,01 to 05,999.0,Jun-19
ASCENTIA SKY,1600000,1581,3,RCR,Resale,1012,31 to 35,88.0,Jun-19
HERITAGE VIEW,1420000,1221,5,RCR,Resale,1163,16 to 20,76.0,Jun-19
THE OCEANFRONT @ SENTOSA COVE,8902300,1100,4,CCR,Resale,8095,11 to 15,85.0,Jun-19
TREASURE PLACE,1690000,1121,5,RCR,Resale,1507,01 to 05,999.0,Jun-19
THE CREST,2497000,1949,3,RCR,Resale,1281,06 to 10,92.0,Jun-19
FABER CREST,1175000,933,5,OCR,Resale,1259,01 to 05,76.0,Jun-19
THE INTERLACE,2680000,1304,4,RCR,Resale,2056,11 to 15,89.0,Jun-19
THE BERTH BY THE COVE,3750000,1113,4,CCR,Resale,3369,06 to 10,84.0,Jun-19
SEAHILL,900000,1306,5,OCR,Resale,689,16 to 20,91.0,Jun-19
THE PARC CONDOMINIUM,1710000,1313,5,OCR,Resale,1302,01 to 05,999.0,Jun-19
HERITAGE VIEW,1470000,1265,5,RCR,Resale,1163,16 to 20,76.0,Jun-19
THE TRILINQ,1620000,1461,5,OCR,Resale,1109,21 to 25,92.0,Jun-19
QUEENS,1530000,1281,3,RCR,Resale,1195,11 to 15,78.0,Jun-19
TERESA VILLE,2300000,1194,4,RCR,Resale,1927,11 to 15,999.0,Jun-19
HARBOUR VIEW TOWERS,1050000,1318,4,RCR,Resale,797,06 to 10,70.0,Jun-19
MONTEREY PARK CONDOMINIUM,1700000,1244,5,OCR,Resale,1367,06 to 10,865.0,Jun-19
HERITAGE VIEW,1360000,1138,5,RCR,Resale,1195,11 to 15,76.0,Jun-19
SKYLINE RESIDENCES,2480000,1843,4,RCR,Resale,1346,06 to 10,999.0,Jun-19
ASCENTIA SKY,2650000,1483,3,RCR,Resale,1787,36 to 40,88.0,Jun-19
REFLECTIONS AT KEPPEL BAY,3600000,1371,4,RCR,Resale,2626,11 to 15,86.0,Jun-19
SEAHILL,1300000,1510,5,OCR,Resale,861,16 to 20,91.0,Jun-19
WEST BAY CONDOMINIUM,1150000,797,5,OCR,Resale,1442,01 to 05,71.0,Jun-19
QUEENS,1438000,1214,3,RCR,Resale,1184,11 to 15,78.0,Jun-19
QUEENS PEAK,1074000,1720,3,RCR,New Sale,624,26 to 30,95.0,Jun-19
TANGLIN VIEW,1320000,1157,3,RCR,Resale,1141,01 to 05,77.0,Jun-19
TANGLIN VIEW,1165000,1336,3,RCR,Resale,872,11 to 15,77.0,Jun-19
TANGLIN VIEW,2250000,1282,3,RCR,Resale,1755,16 to 20,77.0,Jun-19
TERESA VILLE,2150000,1116,4,RCR,Resale,1927,11 to 15,999.0,Jun-19
THE INTERLACE,1398000,1299,4,RCR,Resale,1076,11 to 15,89.0,Jun-19
TWIN REGENCY,2028000,1653,3,RCR,Resale,1227,16 to 20,999.0,Jun-19
